Id,Sentiment,Pasangan Calon,Text Tweet,content_processed
23,negative,Agus-Sylvi,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,modal omong kerja nyata agusharimurtiyudhoyono ahya instagram p
24,negative,Agus-Sylvi,"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",ahy pakdeh karwo pilgub jatim karwo isyarat agus maju pilgub jatim
25,negative,Agus-Sylvi,"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",paslon salah langkah laku sandi bumerang gagal ahy zarazettirazz monethamrin
26,negative,Agus-Sylvi,"Jangan2, relawan inilah yang gembosi #AHY lalu.",rawan gembos ahy
27,negative,Agus-Sylvi,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",ahy ksatria samurai prajurit bangun semangat harap pahlawan rakyat
28,negative,Agus-Sylvi,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",ahy arena tabir gelap harap sergap rakyat rakyat cari tulus
29,negative,Agus-Sylvi,"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",adjierimbawan isu angkat video dishare video sebar buzzer ahy eh jelang sebar
30,negative,Agus-Sylvi,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss,carik luviku coblos ahy kemarin piss
31,negative,Agus-Sylvi,Awas ye kalo minta dukungan suara pendukung #AHY	,awas ye dukung dukung ahy
32,negative,Agus-Sylvi,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,laku kirim sms gelap antasari azhar surabaya ahy anies ahok berita jumatberkah rizieq
33,negative,Agus-Sylvi,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,antasari ancam harry tanoe youtu be antasari ahok surabaya ahy berita metrotv jumatberkah kimjongnam
34,negative,Agus-Sylvi,"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",tuduh hadap ahy lontar anak ingus mayor tak dengar dudah ubah sanjung
35,negative,Agus-Sylvi,JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.,joke pilkada serentak bravo masril pku chilli pari ahy
36,negative,Agus-Sylvi,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,curiga saldo kenti blt curiga mekanisme ahy
37,negative,Agus-Sylvi,ahoker masih bully #AHY,ahoker bully ahy
38,negative,Agus-Sylvi,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,sayang mayor ahy kader pimpin taruna pilih pensiundini
39,negative,Agus-Sylvi,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,tuju syukur kemrin banjir sibuk cari bela sombong ahy banjirjkt
40,negative,Agus-Sylvi,pakai sedotan atau sodetan versi #AHY,sedot sodet versi ahy
41,negative,Agus-Sylvi,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,hellloooo rakyat mengerti rakyat ahy dek agusyudhoyono ngopi gih penikmatkopi
42,negative,Agus-Sylvi,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,cari teman ahy gubernur mastbp
43,negative,Agus-Sylvi,"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy",kesatria lapang dada nyata hoax kalah menang ulama bayar ahy
44,negative,Agus-Sylvi,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",agus singkir ahok anies rebut ahy kelompok youtube ahok anies ahy pilgub
45,negative,Agus-Sylvi,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,ahy hilang duduk gubernur dki
46,negative,Agus-Sylvi,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,konstituen ahy risih mulut ahok pilih anies gerombol khilafah pilih ahok
47,negative,Agus-Sylvi,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,cari teman gubernur tunggu resmi kpu dengar nyata ahy
48,negative,Agus-Sylvi,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,blunder ahy butuh ngemis jleb
49,negative,Agus-Sylvi,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,caci maki ahy pepo memo emis hina
50,negative,Agus-Sylvi,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,golput pilih ahy nampaknya
51,negative,Agus-Sylvi,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,merhatiin rawan ahy rehat hal ganjal islah rawan aniessandi
52,negative,Agus-Sylvi,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",ahy pakar mantan surabaya surat anas urbaningrum jeruji besi sindir mantan
53,negative,Agus-Sylvi,Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/,keluarga pilih ahy program dp nyata keluarga memilih twitter totonih status
54,negative,Agus-Sylvi,"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...",ahy sylvi anies sandiaga basuki djarot debat pilkada dki jual mimpi gubernur
55,negative,Agus-Sylvi,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,ah bang aji kalah ahy
56,negative,Agus-Sylvi,"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY",rendah hati dukung paslon berat hati lihat foto jenak ahy
57,negative,Agus-Sylvi,Aku bangga jadi anak memo. #AHY #moshing,bangga anak memo ahy moshing
58,negative,Agus-Sylvi,Pendukung #AHY sulit melupakan bully2 seperti ini,dukung ahy sulit lupa
59,negative,Agus-Sylvi,pantas saja #AHY hancur,ahy hancur
60,negative,Agus-Sylvi,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy",anggap jual pindah tangan elit partai gerindra pks pilkadadki ahy
61,negative,Agus-Sylvi,"#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil",ahy antasari konferensi pers surabaya surabaya konferensi pers surabaya rengek anak
62,negative,Agus-Sylvi,Tim yang tidak pernah tidur #ahy,tim tidur ahy
63,negative,Agus-Sylvi,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,etika dukung konstituen setia ahy tipu meme berita palsu rachland nashidik
64,negative,Agus-Sylvi,"Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.",kasihan ahy sadar musuh sarung selfienya motivasi selubung hmmm
65,negative,Agus-Sylvi,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,amieeennnnn lupa manis kampanye ahy mayor sejati
66,negative,Agus-Sylvi,"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.",pilkada dki ahy surabaya target hoax fitnah laku akun akun dukung ahok
67,negative,Agus-Sylvi,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja",ahy mentah dikarbit demokrat lihat pilkada dki menang milu sentimen sara
68,negative,Agus-Sylvi,"Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI.",akibat nyata antasari ahy lorot pilkada dki
69,negative,Agus-Sylvi,"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",enam kampanye pilkada kubu ahy dukung ahok sibuk serang program ahy kampanye program ahok
70,negative,Agus-Sylvi,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,ahy dukung tak paska putar pilkada dki jakarta rentang tajam
71,negative,Agus-Sylvi,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,ahy tim jalan hiruk pikuk pilkada jalan politik kecewa bambangelf
72,negative,Agus-Sylvi,"Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf",ahy kalah pidato tim diam tangis lepas pilkada dki bambangelf
73,negative,Agus-Sylvi,"sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif.",jujur nilai subyektif cepat ahy kalah pilkada modal catat negatif
74,negative,Agus-Sylvi,Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya,tolak bajing tengik ahy tukang sogok pilih bangsat ahy bahaya
75,negative,Agus-Sylvi,tolak ahy yang berpolitik membawa agama #AHYMaininSARA,tolak ahy politik bawa agama ahymaininsara
76,negative,Agus-Sylvi,"Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro",astaga dukung ahy terima survey tolak acu semangat efeknontonmetro
77,negative,Agus-Sylvi,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY",sah sah tolak ukur dewasa warga dki ahy menang pola pikir warga primitif politikuangahy
78,negative,Agus-Sylvi,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,warga harga sembako tolak ahy laku suap warga abaaah murtadhaone rinjanijb ananghijau
79,negative,Agus-Sylvi,Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya,ahy pilkada asyik
80,negative,Agus-Sylvi,tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY,tinggal seleksi tendemnya pilkada dki ahy kalah tendemnya salah pilih kualitas ahy
81,negative,Agus-Sylvi,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,nyata gelintir dukung ahy tikung tweet akun resmi parpol dukung anies sandi pilkada
82,negative,Agus-Sylvi,AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.,ahy tanggung akibat cuit ayah tak produktif
83,negative,Agus-Sylvi,"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki",kering darah ahy menghisap darah anisandi mumpung stok darah gudang gudang darah hantu minum setan pilkadadki
84,negative,Agus-Sylvi,"Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK",reaksi dukung ahy tak sikap bawa perasaan tak cundang ajang pilkada pilkadadk
85,negative,Agus-Sylvi,"Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki",getar ahy kecewa dukung bit ly pilkadadki
86,negative,Agus-Sylvi,"AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki",ahy kalah kandang respon tetangga bit ly pilkadadki
87,negative,Agus-Sylvi,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",lini tahan ahy rapuh debat efek aksi efek antasari efek pilkadadki
88,negative,Agus-Sylvi,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki,gagal pilkada dki jakarta ahy isu maju pilgub jatim goo gl fb eccmdw headlines politikbirokrasi pilkadadki
89,negative,Agus-Sylvi,AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI,ahok lejit anies tanjak ahy apung pilkadadki
90,negative,Agus-Sylvi,"Berdasarkan survey sementara, AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI",survey ahy besar selamat pilkadadki
91,negative,Agus-Sylvi,"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI",tinggal zona aman nyaman maju jakarta tak sesuai harap ahy realitybites pilkadadki
92,negative,Agus-Sylvi,"Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI",kasihan ahy kalah umroh bantu doa juta umat nyata allah netral politik pilkadadki
93,negative,Agus-Sylvi,"Jual baju bekas AHY, baru 3 bulan, PM for info #PilkadaDKI @AgusYudhoyono",jual baju bekas ahy pm for info pilkadadki agusyudhoyono
94,negative,Agus-Sylvi,"AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount",ahy vocalis band rock lompat lompat bang kerja pilkadadki quickcount
95,negative,Agus-Sylvi,"Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak",nasib ahy karir tni tamat nafsu pepo cepat parpol tidaku dagang
96,negative,Agus-Sylvi,Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI,surabaya ahy kalah gara gara antasari survey ahy merosot elektabilitasnya pilkadadki
97,negative,Agus-Sylvi,"Saya bertanya kepada Bapak Presiden, TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*",bapak presiden tv rusak ahy qc pilkadadki enggak apa-apa
98,negative,Agus-Sylvi,Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017,pepo nyata prihatin ahy cundang pilkadadki pilkadarasapilpres
99,negative,Agus-Sylvi,Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres,selamat ahy rakyat mundur tni kalah pilkada dki pilkadadki pilkadarasapilpres
100,negative,Agus-Sylvi,heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	,heeebohhhh agus sylvi kalah tps tmpat agusyudhoyono hak pilih pilkadadki quickcount ahy
101,negative,Agus-Sylvi,Yang pilih #AHY semoga tidak  ikut demokrat yaa kalau benar mau dukung Ahok.,pilih ahy moga demokrat dukung ahok
102,negative,Agus-Sylvi,"Demokrat ke Ahok, Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv",demokrat ahok gerindra tantang main polituik kotor dlvr nnsydv
103,negative,Agus-Sylvi,"Mesin robot #AHY-Sylvi lupa dimatiin, jadi masih masuk trending topik",mesin robot ahy sylvi lupa dimatiin trending topik
104,negative,Agus-Sylvi,Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????,dukung ahy mari rapat baris paslon buang issu miring paslon pimpin dakwa simulut ember
105,negative,Agus-Sylvi,"Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY",rakyat tangis lihat ahy kalah aspek ahy pribadi rakyat tetapahy
106,negative,Agus-Sylvi,"Maksud hati caper dari ahy/silvy, eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>",maksud hati caper ahy silvy eh kena protes face with stuck out tounges rolling on floor laughing rolling on floor laughing
107,negative,Agus-Sylvi,"AHY bisa kok menang pilgub DKI, bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI",ahy menang pilgub dki ngumpulin bola dragon ball rolling on floor laughing rolling on floor laughing quickcount pilkadadki
108,negative,Agus-Sylvi,Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI,ah lihat ahy norman kamaru ahy jual bubur haji smiling face with open mouth smiling eyes pilkadadki
109,negative,Agus-Sylvi,"AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua, Ahok-Djarot vs Anies-Sandi.",ahy besar singkir persevering face persevering face pilkadadki dilanjuntukan putar ahok djarot vs anies sandi
110,negative,Agus-Sylvi,"AHY nyungsep , orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI",ahy nyungsep bapak saran coblos no smiling face with open mouth smiling eyes pilkadadki
111,negative,Agus-Sylvi,Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki  @Metro_TV,nyoblos kabung tongue ahy baju sedih smiling face with open mouth smiling eyes siapkalah pilkadadki metro tv
112,negative,Agus-Sylvi,AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€¦ http://dlvr.it/PGqY,ahy cemas hadap situuasi sosial pilkada jakarta pilkada dki jakarta negatif hanyaa dlvr pgqy
113,negative,Agus-Sylvi,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.,ahy kalah sisi negatif umat islam tunda pimpin sisi positif umat islam hindar hujat buka aib
114,negative,Agus-Sylvi,#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>,debatfinalpilkadajkt ahy ahy mengomong karakter barusan omong lihat sisi negatif tongue oncoming fist
115,negative,Agus-Sylvi,"AHY hanya membicarakan negatif saja untuk Jakarta, tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI",ahy bicara negatif jakarta solusi nol besar thumbs down
116,negative,Agus-Sylvi,Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7  via @beritasatu #JakartaAdalahKita,kicau negatif surabaya pengaruh elektabilitas ahy brt st jakartaadalahkita
117,negative,Agus-Sylvi,"Ya Alloh Tuhan YME, AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi",allah tuhan yme ahy nyata dukung senator aura negatif senatordkidukungagussylvi
118,negative,Agus-Sylvi,"menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>",temu foto nyata lingkar ahy penuh integritas kwalitas negatif waspada waspada thumbs down
119,negative,Agus-Sylvi,wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>,ahy sentimen negatif wkwkwk face with stuck out tounges
120,negative,Agus-Sylvi,Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>,senjata makan tuan aka karma kicau negatif surabaya pengaruh elektabilitas ahy face with stuck out tounges
121,negative,Agus-Sylvi,#AHY AniesHilangYa.. #AhokDjarotDiRosi. <Grimacing Face> <Grimacing Face> @KompasTV @Rosianna766Hi @SittaYohag @gunawanahokers @gUNJKT_ @PartaiSocmed @ulinyusron,ahy anieshilangya ahokdjarotdirosi grimacing face grimacing face kompastv sittayohag gunawanahokers gunjkt partaisocmed ulinyusron
122,negative,Agus-Sylvi,#AHY Anies Hilang Ya di debat @KompasTV #ahokdjarotdirosi <Grimacing Face> <Grimacing Face> @Takviri @WahhabiCC @embah72 @gerilyapolitik @cagubnyinyir @kangdede78,ahy anies hilang debat kompastv ahokdjarotdirosi grimacing face grimacing face takviri wahhabicc gerilyapolitik cagubnyinyir
123,negative,Agus-Sylvi,2.mesti nyuruh mantan pemilih #AHY-#Sylvi buat pilih paslon #Anies-#Sandi !!! <Face With Open Mouth> <THUMBS UP> <OK HAND> <FOLDED HANDS> <Thinking Face> <Smiling Face With Sunglasses> https://twitter.com/RestySeterah/status,nyuruh mantan pilih ahy sylvi pilih paslon anies sandi face with open mouth thumbs up ok hand folded hands thinking face smiling face with sunglasses twitter restyseterah status
124,negative,Agus-Sylvi,"1.Kenape kagak dilawan ama pasangan #AHY-#DickyChandra buat Pilgub Jabar ??? Cuma Demokrat emang hrs tegas dulu buat Pilgub DKI, <Thinking Face> <Thinking Face> <Thinking Face>",kagak lawan pasang ahy dickychandra pilgub jabar demokrat pilgub dki thinking face thinking face thinking face
125,negative,Agus-Sylvi,Gara2 kemaren #AHY pake seragam hitam2 ??? <Thinking Face> <Thinking Face> <Thinking Face> <Smiling Face With Open Mouth & Closed Eyes> <Smiling Face With Sunglasses> https://twitter.com/NetizenTofa/status/841350678345736192 …,kemarin ahy seragam thinking face thinking face thinking face smiling face with open mouth closed eyes smiling face with sunglasses twitter netizentofa status
126,negative,Agus-Sylvi,ya pastilah #FPI kan tidak suka sama Ahok jadi pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi <Grimacing Face>,fpi suka ahok ahy kalah otomatis dukung lari anisa aniessandi grimacing face
127,negative,Agus-Sylvi,ahoker masih bully #AHY,ahoker bully ahy
128,negative,Agus-Sylvi,@ZaraZettiraZZ @NetizenTofa @ndoro__putri ada ahoker masih ngebully program #AHY <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY>,zarazettirazz netizentofa ndoro putri ahoker ngebully program ahy face with tears of joy face with tears of joy face with tears of joy
